index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
05798,1953,1953-03-20,4,26.18,26.18,26.18,26.18,26.18,1730000,0,0,1,0,0,0,0,0,0,0,0,0
05799,1953,1953-03-23,0,26.02,26.02,26.02,26.02,26.02,1750000,0,0,1,0,0,0,0,0,0,0,0,0
05800,1953,1953-03-24,1,26.17,26.17,26.17,26.17,26.17,1970000,0,0,1,0,0,0,0,0,0,0,0,0
05801,1953,1953-03-25,2,26.1,26.1,26.1,26.1,26.1,2320000,0,0,1,0,0,0,0,0,0,0,0,0
05802,1953,1953-03-26,3,25.95,25.95,25.95,25.95,25.95,2000000,0,0,1,0,0,0,0,0,0,0,0,0
05803,1953,1953-03-27,4,25.99,25.99,25.99,25.99,25.99,1640000,0,0,1,0,0,0,0,0,0,0,0,0
05804,1953,1953-03-30,0,25.61,25.61,25.61,25.61,25.61,2740000,0,0,1,0,0,0,0,0,0,0,0,0
05805,1953,1953-03-31,1,25.29,25.29,25.29,25.29,25.29,3120000,0,0,1,0,0,0,0,0,0,0,0,0
05806,1953,1953-04-01,2,25.25,25.25,25.25,25.25,25.25,2240000,0,0,0,1,0,0,0,0,0,0,0,0
05807,1953,1953-04-02,3,25.23,25.23,25.23,25.23,25.23,1720000,0,0,0,1,0,0,0,0,0,0,0,0
05808,1953,1953-04-06,0,24.61,24.61,24.61,24.61,24.61,3050000,0,0,0,1,0,0,0,0,0,0,0,0
05809,1953,1953-04-07,1,24.71,24.71,24.71,24.71,24.71,2500000,0,0,0,1,0,0,0,0,0,0,0,0
05810,1953,1953-04-08,2,24.93,24.93,24.93,24.93,24.93,1860000,0,0,0,1,0,0,0,0,0,0,0,0
05811,1953,1953-04-09,3,24.88,24.88,24.88,24.88,24.88,1520000,0,0,0,1,0,0,0,0,0,0,0,0
05812,1953,1953-04-10,4,24.82,24.82,24.82,24.82,24.82,1360000,0,0,0,1,0,0,0,0,0,0,0,0
05813,1953,1953-04-13,0,24.77,24.77,24.77,24.77,24.77,1280000,0,0,0,1,0,0,0,0,0,0,0,0
05814,1953,1953-04-14,1,24.86,24.86,24.86,24.86,24.86,1480000,0,0,0,1,0,0,0,0,0,0,0,0
05815,1953,1953-04-15,2,24.96,24.96,24.96,24.96,24.96,1580000,0,0,0,1,0,0,0,0,0,0,0,0
05816,1953,1953-04-16,3,24.91,24.91,24.91,24.91,24.91,1310000,0,0,0,1,0,0,0,0,0,0,0,0
05817,1953,1953-04-17,4,24.62,24.62,24.62,24.62,24.62,1430000,0,0,0,1,0,0,0,0,0,0,0,0
05818,1953,1953-04-20,0,24.73,24.73,24.73,24.73,24.73,1520000,0,0,0,1,0,0,0,0,0,0,0,0
05819,1953,1953-04-21,1,24.67,24.67,24.67,24.67,24.67,1250000,0,0,0,1,0,0,0,0,0,0,0,0
05820,1953,1953-04-22,2,24.46,24.46,24.46,24.46,24.46,1390000,0,0,0,1,0,0,0,0,0,0,0,0
05821,1953,1953-04-23,3,24.19,24.19,24.19,24.19,24.19,1920000,0,0,0,1,0,0,0,0,0,0,0,0
05822,1953,1953-04-24,4,24.2,24.2,24.2,24.2,24.2,1780000,0,0,0,1,0,0,0,0,0,0,0,0
05823,1953,1953-04-27,0,24.34,24.34,24.34,24.34,24.34,1400000,0,0,0,1,0,0,0,0,0,0,0,0
05824,1953,1953-04-28,1,24.52,24.52,24.52,24.52,24.52,1330000,0,0,0,1,0,0,0,0,0,0,0,0
05825,1953,1953-04-29,2,24.68,24.68,24.68,24.68,24.68,1310000,0,0,0,1,0,0,0,0,0,0,0,0
05826,1953,1953-04-30,3,24.62,24.62,24.62,24.62,24.62,1140000,0,0,0,1,0,0,0,0,0,0,0,0
05827,1953,1953-05-01,4,24.73,24.73,24.73,24.73,24.73,1200000,0,0,0,0,1,0,0,0,0,0,0,0
05828,1953,1953-05-04,0,25.0,25.0,25.0,25.0,25.0,1520000,0,0,0,0,1,0,0,0,0,0,0,0
05829,1953,1953-05-05,1,25.03,25.03,25.03,25.03,25.03,1290000,0,0,0,0,1,0,0,0,0,0,0,0
05830,1953,1953-05-06,2,25.0,25.0,25.0,25.0,25.0,1110000,0,0,0,0,1,0,0,0,0,0,0,0
05831,1953,1953-05-07,3,24.9,24.9,24.9,24.9,24.9,1110000,0,0,0,0,1,0,0,0,0,0,0,0
05832,1953,1953-05-08,4,24.9,24.9,24.9,24.9,24.9,1220000,0,0,0,0,1,0,0,0,0,0,0,0
05833,1953,1953-05-11,0,24.91,24.91,24.91,24.91,24.91,1010000,0,0,0,0,1,0,0,0,0,0,0,0
05834,1953,1953-05-12,1,24.74,24.74,24.74,24.74,24.74,1080000,0,0,0,0,1,0,0,0,0,0,0,0
